location,datetime,tempmax,humidity,solarradiation
colombo,2016-01-01,30.1,69.0,630.0
colombo,2016-01-02,30.1,71.0,649.0
colombo,2016-01-03,31.0,58.0,690.0
colombo,2016-01-04,31.3,59.0,704.0
colombo,2016-01-05,30.5,63.0,796.0
colombo,2016-01-06,30.9,70.0,794.0
colombo,2016-01-07,30.4,65.0,674.0
colombo,2016-01-08,31.1,58.0,700.0
colombo,2016-01-09,31.7,55.0,762.0
colombo,2016-01-10,30.0,61.0,480.0
colombo,2016-01-11,31.5,53.0,709.0
colombo,2016-01-12,31.4,50.0,781.0
colombo,2016-01-13,30.3,46.0,539.0
colombo,2016-01-14,30.7,46.0,797.0
colombo,2016-01-15,30.5,49.0,704.0
colombo,2016-01-16,31.5,48.0,803.0
colombo,2016-01-17,31.9,46.0,822.0
colombo,2016-01-18,32.0,44.0,817.0
colombo,2016-01-19,32.0,50.0,810.0
colombo,2016-01-20,32.3,52.0,766.0
colombo,2016-01-21,32.4,51.0,719.0
colombo,2016-01-22,32.4,48.0,631.0
colombo,2016-01-23,32.2,56.0,663.0
colombo,2016-01-24,33.0,55.0,718.0
colombo,2016-01-25,32.8,58.0,751.0
colombo,2016-01-26,32.7,52.0,870.0
colombo,2016-01-27,33.5,36.0,861.0
colombo,2016-01-28,32.1,41.0,818.0
colombo,2016-01-29,31.9,42.0,779.0
colombo,2016-01-30,32.3,40.0,766.0
colombo,2016-01-31,32.7,41.0,678.0
colombo,2016-02-01,32.5,41.0,447.0
colombo,2016-02-02,33.0,36.0,605.0
colombo,2016-02-03,33.4,31.0,700.0
colombo,2016-02-04,33.2,36.0,636.0
colombo,2016-02-05,32.4,43.0,409.0
colombo,2016-02-06,33.5,44.0,670.0
colombo,2016-02-07,32.2,52.0,631.0
colombo,2016-02-08,33.7,45.0,845.0
colombo,2016-02-09,32.5,53.0,758.0
colombo,2016-02-10,32.8,52.0,716.0
colombo,2016-02-11,33.3,43.0,852.0
colombo,2016-02-12,34.4,35.0,887.0
colombo,2016-02-13,32.5,49.0,806.0
colombo,2016-02-14,32.7,46.0,834.0
colombo,2016-02-15,32.4,56.0,782.0
colombo,2016-02-16,31.4,53.0,435.0
colombo,2016-02-17,32.6,57.0,719.0
colombo,2016-02-18,31.4,64.0,688.0
colombo,2016-02-19,31.2,62.0,833.0
colombo,2016-02-20,31.2,68.0,748.0
colombo,2016-02-21,33.0,50.0,879.0
colombo,2016-02-22,33.7,44.0,877.0
colombo,2016-02-23,31.4,56.0,803.0
colombo,2016-02-24,32.3,52.0,752.0
colombo,2016-02-25,32.3,60.0,849.0
colombo,2016-02-26,32.8,53.0,982.0
colombo,2016-02-27,33.5,47.0,789.0
colombo,2016-02-28,33.4,48.0,817.0
colombo,2016-02-29,34.0,49.0,905.0
colombo,2016-03-01,33.6,47.0,927.0
colombo,2016-03-02,34.6,41.0,827.0
colombo,2016-03-03,34.9,37.0,696.0
colombo,2016-03-04,34.5,43.0,630.0
colombo,2016-03-05,33.7,47.0,790.0
colombo,2016-03-06,31.8,62.0,970.0
colombo,2016-03-07,32.2,56.0,891.0
colombo,2016-03-08,31.8,61.0,848.0
colombo,2016-03-09,32.1,57.0,849.0
colombo,2016-03-10,33.0,59.0,892.0
colombo,2016-03-11,32.3,64.0,792.0
colombo,2016-03-12,31.7,62.0,847.0
colombo,2016-03-13,32.3,58.0,768.0
colombo,2016-03-14,33.1,53.0,970.0
colombo,2016-03-15,32.6,53.0,912.0
colombo,2016-03-16,32.8,54.0,771.0
colombo,2016-03-17,33.5,52.0,874.0
colombo,2016-03-18,34.5,44.0,866.0
colombo,2016-03-19,31.4,62.0,847.0
colombo,2016-03-20,34.2,43.0,761.0
colombo,2016-03-21,34.1,46.0,817.0
colombo,2016-03-22,32.5,54.0,716.0
colombo,2016-03-23,34.1,44.0,769.0
colombo,2016-03-24,34.5,43.0,922.0
colombo,2016-03-25,34.8,41.0,970.0
colombo,2016-03-26,34.5,44.0,952.0
colombo,2016-03-27,33.8,49.0,706.0
colombo,2016-03-28,33.0,56.0,857.0
colombo,2016-03-29,33.2,56.0,880.0
colombo,2016-03-30,32.1,59.0,837.0
colombo,2016-03-31,32.1,56.0,913.0
colombo,2016-04-01,31.8,59.0,904.0
colombo,2016-04-02,33.1,53.0,931.0
colombo,2016-04-03,33.5,50.0,951.0
colombo,2016-04-04,32.5,56.0,884.0
colombo,2016-04-05,33.1,59.0,868.0
colombo,2016-04-06,33.2,58.0,967.0
colombo,2016-04-07,32.4,64.0,929.0
colombo,2016-04-08,32.7,58.0,920.0
colombo,2016-04-09,33.7,51.0,999.0
colombo,2016-04-10,33.1,58.0,797.0
colombo,2016-04-11,32.6,58.0,900.0
colombo,2016-04-12,33.1,59.0,828.0
colombo,2016-04-13,33.1,63.0,863.0
colombo,2016-04-14,32.4,65.0,739.0
colombo,2016-04-15,33.1,57.0,880.0
colombo,2016-04-16,32.1,64.0,819.0
colombo,2016-04-17,32.8,62.0,735.0
colombo,2016-04-18,32.8,57.0,842.0
colombo,2016-04-19,33.1,57.0,905.0
colombo,2016-04-20,32.5,63.0,775.0
colombo,2016-04-21,31.9,67.0,673.0
colombo,2016-04-22,32.0,67.0,869.0
